,Organizador,MES,CODIGO,Descripcion,U. M.,Establecimiento,Almacn,Movimiento,Fecha,Nombre Documento,Establecimiento2,Estaci¢n,Documento,Consecutivo,Consec. Mov.,Inicial,Entradas,Salidas,Actual
136,PANADERIA Y REPORTERIA,01-ene,PYR0019,PAN MOLIDO CRUJIENTE 175 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,02/01/2021 09:57,RECIBO,3,4,1,37736,5,10,0,1.0,9
7410,PANADERIA Y REPORTERIA,01-ene,PYR0019,PAN MOLIDO CRUJIENTE 175 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,05/01/2021 14:26,RECIBO,3,6,1,3824,4,9,0,3.0,6
7424,PANADERIA Y REPORTERIA,01-ene,PYR0019,PAN MOLIDO CRUJIENTE 175 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,05/01/2021 14:28,RECIBO,3,6,1,3825,2,6,0,3.0,3
13589,PANADERIA Y REPORTERIA,01-ene,PYR0019,PAN MOLIDO CRUJIENTE 175 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,07/01/2021 18:57,RECIBO,3,3,1,71821,4,3,0,1.0,2
14900,PANADERIA Y REPORTERIA,01-ene,PYR0019,PAN MOLIDO CRUJIENTE 175 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,08/01/2021 11:45,NOTA DE ENTRADA,3,2,3,6542,12,2,6,0.0,8
15339,PANADERIA Y REPORTERIA,01-ene,PYR0019,PAN MOLIDO CRUJIENTE 175 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,08/01/2021 13:05,RECIBO,3,4,1,38463,1,8,0,1.0,7
15820,PANADERIA Y REPORTERIA,01-ene,PYR0019,PAN MOLIDO CRUJIENTE 175 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,08/01/2021 14:49,RECIBO,3,3,1,72092,1,7,0,1.0,6
21114,PANADERIA Y REPORTERIA,01-ene,PYR0019,PAN MOLIDO CRUJIENTE 175 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,11/01/2021 12:17,RECIBO,3,5,1,11044,1,6,0,1.0,5
21266,PANADERIA Y REPORTERIA,01-ene,PYR0019,PAN MOLIDO CRUJIENTE 175 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,11/01/2021 12:36,NOTA DE ENTRADA,3,2,3,6588,16,5,8,0.0,13
21981,PANADERIA Y REPORTERIA,01-ene,PYR0019,PAN MOLIDO CRUJIENTE 175 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,11/01/2021 14:24,RECIBO,3,5,1,11105,1,13,0,1.0,12
23701,PANADERIA Y REPORTERIA,01-ene,PYR0019,PAN MOLIDO CRUJIENTE 175 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,12/01/2021 10:44,RECIBO,3,4,1,38934,6,12,0,1.0,11
30142,PANADERIA Y REPORTERIA,01-ene,PYR0019,PAN MOLIDO CRUJIENTE 175 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,14/01/2021 12:45,RECIBO,3,5,1,11315,9,11,0,2.0,9
30802,PANADERIA Y REPORTERIA,01-ene,PYR0019,PAN MOLIDO CRUJIENTE 175 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,14/01/2021 14:56,RECIBO,3,3,1,74015,2,9,0,1.0,8
37775,PANADERIA Y REPORTERIA,01-ene,PYR0019,PAN MOLIDO CRUJIENTE 175 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,18/01/2021 09:29,RECIBO,3,3,1,75019,2,8,0,1.0,7
37951,PANADERIA Y REPORTERIA,01-ene,PYR0019,PAN MOLIDO CRUJIENTE 175 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,18/01/2021 10:06,RECIBO,3,3,1,75058,5,7,0,1.0,6
42176,PANADERIA Y REPORTERIA,01-ene,PYR0019,PAN MOLIDO CRUJIENTE 175 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,19/01/2021 10:47,RECIBO,3,4,1,40051,15,6,0,1.0,5
42649,PANADERIA Y REPORTERIA,01-ene,PYR0019,PAN MOLIDO CRUJIENTE 175 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,19/01/2021 12:11,RECIBO,3,5,1,11526,1,5,0,1.0,4
43058,PANADERIA Y REPORTERIA,01-ene,PYR0019,PAN MOLIDO CRUJIENTE 175 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,19/01/2021 13:09,RECIBO,3,5,1,11543,5,4,0,1.0,3
43064,PANADERIA Y REPORTERIA,01-ene,PYR0019,PAN MOLIDO CRUJIENTE 175 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,19/01/2021 13:09,RECIBO,3,5,1,11543,12,3,0,1.0,2
43433,PANADERIA Y REPORTERIA,01-ene,PYR0019,PAN MOLIDO CRUJIENTE 175 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,19/01/2021 14:37,RECIBO,3,5,1,11568,5,2,0,1.0,1
48234,PANADERIA Y REPORTERIA,01-ene,PYR0019,PAN MOLIDO CRUJIENTE 175 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,21/01/2021 12:36,RECIBO,3,6,1,4044,3,1,0,1.0,0
51278,PANADERIA Y REPORTERIA,01-ene,PYR0019,PAN MOLIDO CRUJIENTE 175 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,22/01/2021 14:17,NOTA DE ENTRADA,3,1,3,3022,14,0,5,0.0,5
